option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP,M5SXR,M5SXR-NP,M5SXP,M5SXP-NP,M5SXU,M5SXU-NP,M5DXR,M5DXR-NP,M5DXP,M5DXP-NP,M5DXU,M5DXU-NP
0.2 m / 7 in,020CM,$2.68,$2.90,$6.08,$6.30,$10.04,$10.11,$4.92,$5.36,$9.32,$9.76,$20.03,$20.13,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.02,$5.44,$9.42,$9.84,$13.42,$13.84,$2.72,$2.94,$6.12,$6.34,$7.12,$7.34,$5.11,$5.21,$9.42,$9.84,$13.42,$13.84,$2.61,$2.65,$6.45,$6.49,$10.07,$10.11,$5.19,$5.23,$12.87,$12.91,$20.11,$20.15,$2.98,$3.20,$6.38,$6.60,$7.38,$7.60,$5.50,$5.92,$9.90,$10.32,$13.90,$14.32
0.3 m / 1 ft,001FT,$2.72,$2.96,$6.09,$6.32,$10.08,$10.19,$4.99,$5.45,$9.39,$9.85,$20.09,$20.24,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.14,$5.57,$9.54,$9.97,$13.54,$13.97,$2.79,$3.02,$6.19,$6.42,$7.19,$7.42,$5.17,$5.32,$9.54,$9.97,$13.54,$13.97,$2.66,$2.72,$6.50,$6.56,$10.12,$10.18,$5.29,$5.35,$12.97,$13.03,$20.21,$20.27,$3.19,$3.42,$6.59,$6.82,$7.59,$7.82,$5.89,$6.32,$10.29,$10.72,$14.29,$14.72
0.5 m / 1.64 ft,050CM,$2.80,$3.05,$6.15,$6.40,$10.16,$10.34,$5.10,$5.60,$9.50,$10.00,$20.21,$20.46,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.35,$5.80,$9.75,$10.20,$13.75,$14.20,$2.90,$3.15,$6.30,$6.55,$7.30,$7.55,$5.28,$5.53,$9.75,$10.20,$13.75,$14.20,$2.77,$2.87,$6.61,$6.71,$10.23,$10.33,$5.49,$5.59,$13.17,$13.27,$20.41,$20.51,$3.55,$3.80,$6.95,$7.20,$7.95,$8.20,$6.55,$7.00,$10.95,$11.40,$14.95,$15.40
0.6 m / 2 ft,002FT,$2.84,$3.11,$6.18,$6.44,$10.20,$10.42,$5.17,$5.69,$9.57,$10.09,$20.27,$20.57,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.47,$5.93,$9.87,$10.33,$13.87,$14.33,$2.97,$3.23,$6.37,$6.63,$7.37,$7.63,$5.34,$5.64,$9.87,$10.33,$13.87,$14.33,$2.83,$2.95,$6.67,$6.79,$10.29,$10.41,$5.60,$5.71,$13.27,$13.39,$20.51,$20.63,$3.76,$4.02,$7.16,$7.42,$8.16,$8.42,$6.94,$7.40,$11.34,$11.80,$15.34,$15.80
0.91 m / 3 ft,003FT,$2.96,$3.26,$6.27,$6.56,$10.32,$10.66,$5.35,$5.93,$9.75,$10.33,$20.46,$20.91,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.80,$6.29,$10.20,$10.69,$14.20,$14.69,$3.15,$3.44,$6.55,$6.84,$7.55,$7.84,$5.52,$5.97,$10.20,$10.69,$14.20,$14.69,$3.00,$3.18,$6.84,$7.02,$10.46,$10.64,$5.91,$6.09,$13.59,$13.77,$20.83,$21.01,$4.33,$4.62,$7.73,$8.02,$8.73,$9.02,$7.99,$8.48,$12.39,$12.88,$16.39,$16.88
1 m / 3.28 ft,001M,$3.00,$3.30,$6.30,$6.60,$10.36,$10.73,$5.40,$6.00,$9.80,$10.40,$20.51,$21.01,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.90,$6.40,$10.30,$10.80,$14.30,$14.80,$3.20,$3.50,$6.60,$6.90,$7.60,$7.90,$5.57,$6.07,$10.30,$10.80,$14.30,$14.80,$3.05,$3.25,$6.89,$7.09,$10.51,$10.71,$6.00,$6.20,$13.68,$13.87,$20.92,$21.11,$4.50,$4.80,$7.90,$8.20,$8.90,$9.20,$8.30,$8.80,$12.70,$13.20,$16.70,$17.20
1.21 m / 4 ft,004FT,$3.08,$3.41,$6.36,$6.68,$10.45,$10.89,$5.53,$6.17,$9.93,$10.57,$20.64,$21.24,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$6.13,$6.65,$10.53,$11.05,$14.53,$15.05,$3.33,$3.65,$6.73,$7.05,$7.73,$8.05,$5.70,$6.30,$10.53,$11.05,$14.53,$15.05,$3.17,$3.41,$7.01,$7.25,$10.63,$10.87,$6.21,$6.45,$13.89,$14.13,$21.13,$21.37,$4.90,$5.22,$8.30,$8.62,$9.30,$9.62,$9.04,$9.56,$13.44,$13.96,$17.44,$17.96
1.5 m / 4.92 ft,150CM,$3.20,$3.55,$6.45,$6.80,$10.56,$11.12,$5.70,$6.40,$10.10,$10.80,$20.81,$21.56,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$6.45,$7.00,$10.85,$11.40,$14.85,$15.40,$3.50,$3.85,$6.90,$7.25,$7.90,$8.25,$5.87,$6.61,$10.85,$11.40,$14.85,$15.40,$3.33,$3.63,$7.17,$7.47,$10.79,$11.09,$6.50,$6.80,$14.18,$14.48,$21.42,$21.72,$5.45,$5.80,$8.85,$9.20,$9.85,$10.20,$10.05,$10.60,$14.45,$15.00,$18.45,$19.00
1.52 m / 5 ft,005FT,$3.21,$3.56,$6.46,$6.81,$10.57,$11.13,$5.71,$6.42,$10.11,$10.82,$20.82,$21.58,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$6.47,$7.02,$10.87,$11.42,$14.87,$15.42,$3.51,$3.86,$6.91,$7.26,$7.91,$8.26,$5.88,$6.63,$10.87,$11.42,$14.87,$15.42,$3.34,$3.65,$7.18,$7.49,$10.80,$11.11,$6.52,$6.82,$14.20,$14.50,$21.44,$21.74,$5.49,$5.84,$8.89,$9.24,$9.89,$10.24,$10.12,$10.67,$14.52,$15.07,$18.52,$19.07
1.82 m / 6 ft,006FT,$3.33,$3.71,$6.55,$6.93,$10.69,$11.37,$5.89,$6.66,$10.29,$11.06,$21.00,$21.91,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.80,$7.38,$11.20,$11.78,$15.20,$15.78,$3.69,$4.07,$7.09,$7.47,$8.09,$8.47,$6.05,$6.96,$11.20,$11.78,$15.20,$15.78,$3.51,$3.87,$7.35,$7.71,$10.97,$11.33,$6.82,$7.18,$14.50,$14.86,$21.74,$22.10,$6.06,$6.44,$9.46,$9.84,$10.46,$10.84,$11.17,$11.75,$15.57,$16.15,$19.57,$20.15
