option,SKU,SNSMU,SNSMU-NP,SNSMP,SNSMP-NP,SNSMR,SNSMR-NP,SNM3U,SNM3U-NP,SNM3P,SNM3P-NP,SNM3R,SNM3R-NP,SNM4U,SNM4U-NP,SNM4P,SNM4P-NP,SNM4R,SNM4R-NP,SNM5U,SNM5U-NP,SNM5P,SNM5P-NP,SNM5R,SNM5R-NP,EPSMR,EPSMR-NP,EPM4R,EPM4R-NP,SPSMR,SPSMR-NP,SPM4R,SPM4R-NP
0.2 m / 7 in,020CM,$29.98,$30.03,$12.12,$12.16,$9.00,$9.05,$16.22,$16.24,$12.22,$12.24,$7.42,$7.44,$16.28,$16.30,$12.28,$12.30,$9.08,$9.18,$16.70,$16.72,$12.70,$12.72,$7.90,$7.92,$10.20 ,$10.25 ,$10.28 ,$10.38 ,$9.80 ,$9.85 ,$9.88 ,$9.98 
0.3 m / 1 ft,001FT,$30.04,$30.12,$12.19,$12.25,$9.06,$9.13,$16.34,$16.37,$12.34,$12.37,$7.54,$7.57,$16.43,$16.47,$12.43,$12.47,$9.19,$9.33,$17.09,$17.12,$13.09,$13.12,$8.29,$8.32,$10.26 ,$10.33 ,$10.39 ,$10.53 ,$9.86 ,$9.93 ,$9.99 ,$10.13 
0.5 m / 1.64 ft,050CM,$30.16,$30.29,$12.30,$12.40,$9.18,$9.30,$16.55,$16.60,$12.55,$12.60,$7.75,$7.80,$16.70,$16.75,$12.70,$12.75,$9.39,$9.62,$17.75,$17.80,$13.75,$13.80,$8.95,$9.00,$10.38 ,$10.50 ,$10.59 ,$10.82 ,$9.98 ,$10.10 ,$10.19 ,$10.42 
0.6 m / 2 ft,002FT,$30.22,$30.37,$12.37,$12.49,$9.24,$9.38,$16.67,$16.73,$12.67,$12.73,$7.87,$7.93,$16.85,$16.92,$12.85,$12.92,$9.49,$9.77,$18.14,$18.20,$14.14,$14.20,$9.34,$9.40,$10.44 ,$10.58 ,$10.69 ,$10.97 ,$10.04 ,$10.18 ,$10.29 ,$10.57 
0.91 m / 3 ft,003FT,$30.41,$30.63,$12.55,$12.73,$9.42,$9.64,$17.00,$17.09,$13.00,$13.09,$8.20,$8.29,$17.27,$17.37,$13.27,$13.37,$9.81,$10.23,$19.19,$19.28,$15.19,$15.28,$10.39,$10.48,$10.62 ,$10.84 ,$11.01 ,$11.43 ,$10.22 ,$10.44 ,$10.61 ,$11.03 
1 m / 3.28 ft,001M,$30.46,$30.71,$12.60,$12.80,$9.48,$9.72,$17.10,$17.20,$13.10,$13.20,$8.30,$8.40,$17.40,$17.50,$13.40,$13.50,$9.90,$10.37,$19.50,$19.60,$15.50,$15.60,$10.70,$10.80,$10.68 ,$10.92 ,$11.10 ,$11.57 ,$10.28 ,$10.52 ,$10.70 ,$11.17 
1.21 m / 4 ft,004FT,$30.59,$30.88,$12.73,$12.97,$9.60,$9.90,$17.33,$17.45,$13.33,$13.45,$8.53,$8.65,$17.69,$17.82,$13.69,$13.82,$10.12,$10.68,$20.24,$20.36,$16.24,$16.36,$11.44,$11.56,$10.80 ,$11.10 ,$11.32 ,$11.88 ,$10.40 ,$10.70 ,$10.92 ,$11.48 
1.5 m / 4.92 ft,150CM,$30.76,$31.13,$12.90,$13.20,$9.78,$10.14,$17.65,$17.80,$13.65,$13.80,$8.85,$9.00,$18.10,$18.25,$14.10,$14.25,$10.41,$11.11,$21.25,$21.40,$17.25,$17.40,$12.45,$12.60,$10.98 ,$11.34 ,$11.61 ,$12.31 ,$10.58 ,$10.94 ,$11.21 ,$11.91 
1.52 m / 5 ft,005FT,$30.77,$31.14,$12.91,$13.22,$9.79,$10.16,$17.67,$17.82,$13.67,$13.82,$8.87,$9.02,$18.13,$18.28,$14.13,$14.28,$10.43,$11.14,$21.32,$21.47,$17.32,$17.47,$12.52,$12.67,$10.99 ,$11.36 ,$11.63 ,$12.34 ,$10.59 ,$10.96 ,$11.23 ,$11.94 
1.82 m / 6 ft,006FT,$30.95,$31.39,$13.09,$13.46,$9.97,$10.41,$18.00,$18.18,$14.00,$14.18,$9.20,$9.38,$18.55,$18.73,$14.55,$14.73,$10.74,$11.58,$22.37,$22.55,$18.37,$18.55,$13.57,$13.75,$11.17 ,$11.61 ,$11.94 ,$12.78 ,$10.77 ,$11.21 ,$11.54 ,$12.38 
2 m / 6.56 ft,002M,$31.06,$31.55,$13.20,$13.60,$10.08,$10.56,$18.20,$18.40,$14.20,$14.40,$9.40,$9.60,$18.80,$19.00,$14.80,$15.00,$10.93,$11.85,$23.00,$23.20,$19.00,$19.20,$14.20,$14.40,$11.28 ,$11.76 ,$12.13 ,$13.05 ,$10.88 ,$11.36 ,$11.73 ,$12.65 
2.12 m / 7 ft,007FT,$31.13,$31.65,$13.27,$13.70,$10.15,$10.66,$18.33,$18.54,$14.33,$14.54,$9.53,$9.74,$18.97,$19.18,$14.97,$15.18,$11.05,$12.03,$23.42,$23.63,$19.42,$19.63,$14.62,$14.83,$11.35 ,$11.86 ,$12.25 ,$13.23 ,$10.95 ,$11.46 ,$11.85 ,$12.83 
2.43 m / 8 ft,008FT,$31.32,$31.91,$13.46,$13.94,$10.33,$10.92,$18.67,$18.92,$14.67,$14.92,$9.87,$10.12,$19.40,$19.65,$15.40,$15.65,$11.37,$12.49,$24.51,$24.75,$20.51,$20.75,$15.71,$15.95,$11.53 ,$12.12 ,$12.57 ,$13.69 ,$11.13 ,$11.72 ,$12.17 ,$13.29 
2.5 m /  8.20 ft,250CM,$31.36,$31.97,$13.50,$14.00,$10.38,$10.98,$18.75,$19.00,$14.75,$15.00,$9.95,$10.20,$19.50,$19.75,$15.50,$15.75,$11.44,$12.59,$24.75,$25.00,$20.75,$21.00,$15.95,$16.20,$11.58 ,$12.18 ,$12.64 ,$13.79 ,$11.18 ,$11.78 ,$12.24 ,$13.39 
2.74 m / 9 ft,009FT,$31.50,$32.17,$13.64,$14.19,$10.52,$11.18,$19.01,$19.29,$15.01,$15.29,$10.21,$10.49,$19.84,$20.11,$15.84,$16.11,$11.68,$12.95,$25.59,$25.86,$21.59,$21.86,$16.79,$17.06,$11.72 ,$12.38 ,$12.88 ,$14.15 ,$11.32 ,$11.98 ,$12.48 ,$13.75 
3 m / 9.84 ft,003M,$31.66,$32.39,$13.80,$14.40,$10.67,$11.40,$19.30,$19.60,$15.30,$15.60,$10.50,$10.80,$20.20,$20.50,$16.20,$16.50,$11.95,$13.34,$26.50,$26.80,$22.50,$22.80,$17.70,$18.00,$11.87 ,$12.60 ,$13.15 ,$14.54 ,$11.47 ,$12.20 ,$12.75 ,$14.14 
3.05 m / 10 ft,010FT,$31.69,$32.43,$13.83,$14.44,$10.70,$11.44,$19.36,$19.66,$15.36,$15.66,$10.56,$10.86,$20.27,$20.58,$16.27,$16.58,$12.00,$13.41,$26.68,$26.98,$22.68,$22.98,$17.88,$18.18,$11.90 ,$12.64 ,$13.20 ,$14.61 ,$11.50 ,$12.24 ,$12.80 ,$14.21 
